# Conflict Data Audit Report
For each flight, all conflicts it is involved in are listed.
Columns: Source | Flight | Aircraft Type | Departure Time | Time (UTC) | Lat | Lon | Alt | Altitude Diff | Distance
Note: Departure Time column shows scheduled departure times to verify scheduling algorithm accuracy.

## Flight: FLT0001
### Conflict with FLT0018 (Conflict 1)
| Source                   | Flight       | Aircraft Type | Departure Time | Time (UTC)   | Lat        | Lon        | Alt     | Altitude Diff  | Distance  |
|:----------------------:|:----------:|:----------:|:------------:|:----------:|:--------:|:--------:|:-----:|:------------:|:-------:|
| potential_conflict_data  | FLT0018      | DH8D         | 1458           | 24           | -34.72550  | 149.71738  |   20000 |            519 | 2.61      |
| interpolated_points      | FLT0018      | DH8D         | 1458           | 1522         | -34.72550  | 149.71738  |   20000 |              0 | N/A       |
| animation_data           | FLT0018      | DH8D         | 1458           | 1522         | -34.72550  | 149.71738  |   20000 |              0 | N/A       |

### Conflict with FLT0016 (Conflict 20)
| Source                   | Flight       | Aircraft Type | Departure Time | Time (UTC)   | Lat        | Lon        | Alt     | Altitude Diff  | Distance  |
|:----------------------:|:----------:|:----------:|:------------:|:----------:|:--------:|:--------:|:-----:|:------------:|:-------:|
| potential_conflict_data  | FLT0018      | DH8D         | 1458           | 7            | -34.40470  | 150.66402  |   20000 |            823 | 2.69      |
| interpolated_points      | FLT0018      | DH8D         | 1458           | 1510         | -34.40470  | 150.66402  |   20000 |              0 | N/A       |
| animation_data           | FLT0018      | DH8D         | 1458           | 1510         | -34.40470  | 150.66402  |   20000 |              0 | N/A       |

### Conflict with FLT0019 (Conflict 22)
